"","Council","Rating","1999/2000","2001/2002","2003/2004","2005/2006","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Aberdeen City","Very/fairly good","90.6","91.7","92.2","93.7","94.6","92","*","94.4","92.3","94.7","96.6","95","94.9","93.4","92.5"
"2","Aberdeen City","Very good","45.1","47.5","50.6","51.7","54","51.4","*","55.3","54.1","61.4","52.4","55.3","56.4","53.1","46.4"
"3","Aberdeen City","Fairly good","45.6","44.2","41.5","42","40.6","40.6","*","39.1","38.1","33.2","44.2","39.7","38.5","40.2","46.1"
"4","Aberdeen City","Fairly poor","6.1","5.3","4.4","4.4","3.8","4.4","*","4.2","4.1","3.3","2.2","3.4","3.6","4.7","6.2"
"5","Aberdeen City","Very poor","2.6","2.5","3","1.5","1.5","2.5","*","1.4","3.1","1.5","1.1","0.6","1","1.9","1.1"
"6","Aberdeen City","No opinion","0.7","0.4","0.4","0.4","0.2","1.2","*","-","0.5","0.6","0.2","1","0.6","-","0.2"
"7","Aberdeen City","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"8","Aberdeen City","Base","1120","1160","1070","1090","730","910","*","300","310","290","280","290","350","330","300"
"9","Aberdeenshire","Very/fairly good","96.1","95.3","96.4","97.9","97.8","97.1","*","97.6","96.8","96","96.8","98.4","97.8","96.4","95.5"
"10","Aberdeenshire","Very good","61","60.9","64.1","66.7","69.8","70","*","67.2","64.2","66.3","65.9","70.8","67.6","63.3","69"
"11","Aberdeenshire","Fairly good","35","34.3","32.4","31.2","28","27.2","*","30.4","32.6","29.7","30.9","27.7","30.2","33","26.5"
"12","Aberdeenshire","Fairly poor","1.9","2.4","2.2","1.2","1.5","1.6","*","0.6","2.9","3.2","3","1.6","1.6","3","3.1"
"13","Aberdeenshire","Very poor","1.7","1.7","0.8","0.7","0.6","1","*","1.4","-","0.5","-","-","0.6","0.7","1.2"
"14","Aberdeenshire","No opinion","0.4","0.7","0.6","0.2","0.1","0.3","*","0.4","0.3","0.3","0.2","-","-","-","0.2"
"15","Aberdeenshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"16","Aberdeenshire","Base","1110","1130","1160","1150","1010","1190","*","310","300","300","280","320","320","360","340"
"17","Angus","Very/fairly good","93.3","92.4","93.9","91.5","92.8","95.7","*","91.2","96.6","92.5","96.3","96.3","94.5","96.3","94.4"
"18","Angus","Very good","60.1","59.4","62.5","58.6","63.8","62.4","*","58.5","60.7","53.3","61.4","62.5","66.2","65.6","62.3"
"19","Angus","Fairly good","33.2","33.1","31.4","32.9","29","33.4","*","32.8","35.9","39.2","34.8","33.9","28.3","30.7","32.1"
"20","Angus","Fairly poor","3.9","4.6","3.5","4.5","5","3.2","*","7.2","2.7","4","2.2","3.7","4","2.9","3.7"
"21","Angus","Very poor","2.5","3","2","3.9","2.1","1","*","1.5","-","2.4","0.2","-","0.6","0.5","1.6"
"22","Angus","No opinion","0.3","-","0.6","0.1","0.2","-","*","-","0.7","1.1","1.3","-","0.9","0.3","0.3"
"23","Angus","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"24","Angus","Base","610","640","590","570","380","500","*","250","220","260","240","230","240","210","230"
"25","Argyll & Bute","Very/fairly good","92.1","93","94.4","95.2","96.9","97.3","*","90.4","97.1","97","96.4","95.2","96.7","99.7","94.1"
"26","Argyll & Bute","Very good","55.8","59.1","61","64.5","72.5","70.5","*","69.8","66.6","62.4","67.8","70.7","70.5","74.6","70.4"
"27","Argyll & Bute","Fairly good","36.3","33.9","33.4","30.8","24.4","26.8","*","20.6","30.5","34.6","28.6","24.5","26.3","25.1","23.7"
"28","Argyll & Bute","Fairly poor","4.8","3.4","3.7","2.6","2.3","1.7","*","4.9","1.7","1.6","2.5","4.2","2.8","-","3.1"
"29","Argyll & Bute","Very poor","2.3","3","1.6","2","0.4","0.9","*","4.5","1.2","1","1.1","0.7","0.4","-","1.3"
"30","Argyll & Bute","No opinion","0.7","0.6","0.3","0.2","0.3","-","*","0.2","-","0.4","-","-","-","0.3","1.5"
"31","Argyll & Bute","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"32","Argyll & Bute","Base","540","550","520","560","580","620","*","250","250","270","250","240","250","240","240"
"33","Clackmannanshire","Very/fairly good","90.7","90","88.7","87.2","90.5","94.3","*","87","92.4","94","91.3","95","95.6","95.4","91.5"
"34","Clackmannanshire","Very good","49","41.5","41","39","40","44.8","*","36.2","43.6","48","48.1","48.8","41.5","55.8","55.7"
"35","Clackmannanshire","Fairly good","41.7","48.4","47.7","48.3","50.5","49.5","*","50.8","48.8","46","43.3","46.2","54.1","39.6","35.7"
"36","Clackmannanshire","Fairly poor","6.4","7.3","6.9","8.7","6.5","4.5","*","10.4","4.9","5","6.7","3.2","3.3","3.1","4.9"
"37","Clackmannanshire","Very poor","2","2.7","3.8","3.4","2.8","1.2","*","2.6","2.7","0.7","2","1.3","0.8","1.5","3.5"
"38","Clackmannanshire","No opinion","0.9","-","0.6","0.6","0.3","-","*","-","-","0.4","-","0.5","0.3","-","0.2"
"39","Clackmannanshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"40","Clackmannanshire","Base","560","520","540","600","370","430","*","260","280","250","240","240","270","210","210"
"41","Dumfries & Galloway","Very/fairly good","94.8","94.4","95.8","94.7","96.1","94.5","*","97.8","93.9","97.7","96.4","96.1","95.6","95.2","97.2"
"42","Dumfries & Galloway","Very good","59.3","55.7","66","62.4","62.4","58.9","*","64.6","61","67","63","61.3","62.5","66.5","66.2"
"43","Dumfries & Galloway","Fairly good","35.5","38.7","29.7","32.3","33.7","35.7","*","33.2","32.8","30.7","33.4","34.8","33.1","28.7","31"
"44","Dumfries & Galloway","Fairly poor","2.8","3.1","2.5","3.2","2","4","*","1.9","1.8","2.1","2.8","2.5","3.3","3","2.8"
"45","Dumfries & Galloway","Very poor","2.3","1.9","1","1.4","1.9","1","*","0.3","1.6","0.2","0.4","0.9","1.1","1.9","-"
"46","Dumfries & Galloway","No opinion","0.2","0.6","0.7","0.6","-","0.5","*","-","2.7","-","0.4","0.5","-","-","-"
"47","Dumfries & Galloway","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"48","Dumfries & Galloway","Base","840","780","780","790","640","760","*","240","230","230","230","250","250","240","260"
"49","Dundee City","Very/fairly good","91.1","89.2","88.2","90.9","89.6","91","*","94.3","93.3","87.9","90.8","94.2","93.7","89.1","93.1"
"50","Dundee City","Very good","46.6","44.2","42.9","46.6","46.5","43.2","*","49.3","42.1","38.1","50.2","51.8","44.9","42.7","49.9"
"51","Dundee City","Fairly good","44.5","45","45.4","44.4","43.1","47.8","*","45","51.2","49.8","40.7","42.4","48.8","46.3","43.3"
"52","Dundee City","Fairly poor","4.9","7.1","7.2","5.8","6.6","6.6","*","3.3","5.6","7.5","5.9","4.9","3.5","9.3","5.6"
"53","Dundee City","Very poor","3.7","2.8","3.8","2.5","3.8","2","*","2.4","0.8","3.9","1.7","0.9","2.1","0.8","1.1"
"54","Dundee City","No opinion","0.3","0.9","0.8","0.8","-","0.4","*","-","0.2","0.7","1.6","-","0.8","0.8","0.2"
"55","Dundee City","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"56","Dundee City","Base","730","790","780","780","480","660","*","250","250","250","240","230","230","250","220"
"57","East Ayrshire","Very/fairly good","91.5","91.5","91.7","92.6","91.7","94","*","90.3","95","91.4","94.2","92.3","95.3","90.7","91.5"
"58","East Ayrshire","Very good","46.7","47.3","46","46.9","46.3","41.9","*","45.4","47.4","52","43.2","51","44.4","51","59.5"
"59","East Ayrshire","Fairly good","44.7","44.2","45.8","45.7","45.4","52.1","*","44.9","47.6","39.4","51","41.4","50.9","39.7","32"
"60","East Ayrshire","Fairly poor","5","4.3","5.7","5.2","5.9","3.8","*","7","3.5","7","3.3","5","3","7.7","6.9"
"61","East Ayrshire","Very poor","3.5","3.8","2.2","2.3","2.2","2.2","*","2.8","1.5","1.5","2.5","2.4","0.5","1.6","1.5"
"62","East Ayrshire","No opinion","0.1","0.4","0.3","-","0.2","-","*","-","-","-","-","0.2","1.3","-","-"
"63","East Ayrshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"64","East Ayrshire","Base","640","670","650","610","450","530","*","220","190","230","220","210","250","240","260"
"65","East Dunbartonshire","Very/fairly good","96","96.6","97.6","97.3","98.7","97.5","*","96.6","98.2","98.9","97","99.2","98","99.6","99"
"66","East Dunbartonshire","Very good","57.5","55.3","62.7","65.5","67","67.2","*","69.2","71.1","70.8","71.1","73.7","73.7","72.7","75.3"
"67","East Dunbartonshire","Fairly good","38.5","41.3","34.9","31.7","31.7","30.2","*","27.4","27","28.1","25.9","25.5","24.4","26.8","23.7"
"68","East Dunbartonshire","Fairly poor","2.6","2.2","1.1","2","0.7","2","*","1.4","1.5","0.4","1.9","0.4","1.8","0.2","0.6"
"69","East Dunbartonshire","Very poor","1.2","0.9","0.7","0.7","0.4","0.6","*","1.2","-","0.7","1.1","0.5","0.2","0.2","0.2"
"70","East Dunbartonshire","No opinion","0.2","0.2","0.6","-","0.2","-","*","0.7","0.3","-","-","-","-","-","0.2"
"71","East Dunbartonshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"72","East Dunbartonshire","Base","530","560","500","480","350","420","*","260","250","220","240","260","230","260","260"
"73","East Lothian","Very/fairly good","95.7","93.4","97.2","96.3","96.7","98.4","*","95.5","95.9","98.1","95.1","96.7","96.5","98","96.5"
"74","East Lothian","Very good","60.9","65.2","60.2","65.2","67.8","67","*","66.7","60.3","70.4","71.8","63.1","66.5","65.4","60.5"
"75","East Lothian","Fairly good","34.8","28.2","37","31.1","28.9","31.4","*","28.8","35.5","27.7","23.3","33.6","30","32.6","36"
"76","East Lothian","Fairly poor","2.9","5.4","1.6","2.8","2.1","1.3","*","3.8","3.4","1.5","2.1","2.6","2","1.7","2.3"
"77","East Lothian","Very poor","1","1.1","0.7","0.9","0.8","0.3","*","0.8","0.7","0.3","2.8","0.8","0.5","0.3","1.2"
"78","East Lothian","No opinion","0.5","0.1","0.5","-","0.4","-","*","-","-","-","-","-","1","-","-"
"79","East Lothian","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"80","East Lothian","Base","550","550","500","490","440","570","*","240","230","220","210","290","260","250","270"
"81","East Renfrewshire","Very/fairly good","94.7","97.1","95.2","97.6","96.1","97.6","*","99.6","99.6","96.6","99.2","98.4","97.3","98.8","99.1"
"82","East Renfrewshire","Very good","63.4","63.4","64.1","66.7","64.4","69.1","*","78.2","75.2","71.4","75.5","73","73.6","72.9","71.2"
"83","East Renfrewshire","Fairly good","31.3","33.7","31.1","30.9","31.7","28.5","*","21.3","24.3","25.2","23.7","25.4","23.7","25.9","27.9"
"84","East Renfrewshire","Fairly poor","3.2","2.2","3.7","1.8","2.6","1.6","*","0.2","0.4","1.9","0.5","1.2","1.7","0.9","0.4"
"85","East Renfrewshire","Very poor","1.9","0.3","1.1","0.5","1.3","0.8","*","0.2","-","1.5","0.3","0.4","1","0.3","0.2"
"86","East Renfrewshire","No opinion","0.1","0.4","0.1","0.1","-","-","*","-","-","-","-","-","-","-","0.3"
"87","East Renfrewshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"88","East Renfrewshire","Base","450","510","570","490","340","450","*","210","260","220","260","230","230","250","240"
"89","Edinburgh, City of","Very/fairly good","92","93.2","93.9","93","92.4","93.7","*","94.9","94.7","93.3","96.6","94.2","96.4","95.8","95.1"
"90","Edinburgh, City of","Very good","52.5","54.2","52.7","46.5","50.4","56.3","*","52.4","49.3","46.4","53.4","52.1","55.8","59.1","58.9"
"91","Edinburgh, City of","Fairly good","39.5","39","41.2","46.5","42.1","37.4","*","42.5","45.4","46.9","43.2","42.1","40.6","36.7","36.2"
"92","Edinburgh, City of","Fairly poor","4.9","4.3","3.8","4.9","4.9","4.7","*","3.8","4.7","4.4","2.4","4.4","2.4","3.3","3.8"
"93","Edinburgh, City of","Very poor","2.9","2.5","1.6","1.8","2.5","1.2","*","1.1","0.3","1.8","0.8","1.1","1.3","0.9","1.1"
"94","Edinburgh, City of","No opinion","0.2","0","0.6","0.3","0.2","0.4","*","0.2","0.3","0.5","0.3","0.3","-","-","-"
"95","Edinburgh, City of","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"96","Edinburgh, City of","Base","2340","2230","2310","2370","1420","1950","*","720","750","710","630","720","700","780","840"
"97","Falkirk","Very/fairly good","91.6","92.5","92","91.2","91.3","94.7","*","95.4","93.6","95.8","94.9","96.2","95.4","96.1","96.2"
"98","Falkirk","Very good","50.1","45.2","45.8","44.6","51.2","51.8","*","51.2","52.1","50.4","56.5","65.7","55.1","47.9","55.8"
"99","Falkirk","Fairly good","41.4","47.3","46.2","46.5","40","42.9","*","44.2","41.5","45.4","38.4","30.5","40.3","48.2","40.4"
"100","Falkirk","Fairly poor","4.8","5.2","6","5.7","4.7","3.5","*","3.3","5.2","2","3.7","3.2","3.2","3.2","3.8"
"101","Falkirk","Very poor","3","1.6","1.7","2.5","3.9","1.3","*","0.7","0.5","1.3","0.5","0.6","1.1","0.6","-"
"102","Falkirk","No opinion","0.7","0.7","0.3","0.7","0.2","0.5","*","0.6","0.6","0.8","0.9","-","0.3","-","-"
"103","Falkirk","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"104","Falkirk","Base","750","750","770","710","440","560","*","240","240","260","260","250","260","210","220"
"105","Fife","Very/fairly good","90.9","93.2","91.4","91.9","91.8","92.7","*","92.9","94.6","93.1","93.7","93.9","94.5","94.8","95"
"106","Fife","Very good","49.2","49.2","47.7","46.3","48.1","54.5","*","56.5","52.5","56","56.4","54.7","52.9","56.4","60.5"
"107","Fife","Fairly good","41.7","43.9","43.7","45.6","43.7","38.2","*","36.4","42.1","37.1","37.3","39.2","41.7","38.4","34.5"
"108","Fife","Fairly poor","5.7","4.2","4.8","5.1","6","6","*","4.5","3.8","3.2","3.2","4.1","3.5","4.2","3.6"
"109","Fife","Very poor","2.8","2.2","2.9","2","1.4","1.1","*","1.9","1.2","3.3","2.9","1.7","2","0.9","0.7"
"110","Fife","No opinion","0.6","0.5","0.8","1","0.7","0.2","*","0.7","0.5","0.4","0.2","0.3","-","0.1","0.6"
"111","Fife","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"112","Fife","Base","1810","1770","1980","2010","1340","1670","*","480","510","490","470","480","460","520","480"
"113","Glasgow City","Very/fairly good","82.5","83.7","85.3","84.5","85.5","87.6","*","87.2","89.6","91","90.1","92.4","91.6","92.2","92.4"
"114","Glasgow City","Very good","34.2","32","35.2","33.6","35.9","42.1","*","41.4","44.2","42.2","42.5","43.8","47","45","40.3"
"115","Glasgow City","Fairly good","48.3","51.7","50.1","50.9","49.6","45.5","*","45.9","45.4","48.8","47.6","48.7","44.6","47.2","52.1"
"116","Glasgow City","Fairly poor","9.2","9.3","9","9.4","9","7.4","*","9.3","7.1","6","6","5.1","5.8","5.6","5.1"
"117","Glasgow City","Very poor","7.7","6.2","5","5.5","5","4.5","*","2.9","3.2","2.4","3.3","1.7","2.2","1.9","2"
"118","Glasgow City","No opinion","0.5","0.8","0.7","0.6","0.5","0.5","*","0.6","0.1","0.6","0.6","0.8","0.5","0.3","0.5"
"119","Glasgow City","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"120","Glasgow City","Base","2940","3040","3130","2880","2030","2540","*","910","910","950","810","800","840","910","850"
"121","Highland","Very/fairly good","94.5","95","96.8","95.6","95.7","97","*","95.3","97.3","97","95.1","97.1","96.8","98","93.7"
"122","Highland","Very good","62.9","62.5","66","67.5","62.3","71.4","*","66.2","70.9","70","61.1","67.4","74.6","70.2","70.5"
"123","Highland","Fairly good","31.5","32.5","30.7","28.1","33.3","25.6","*","29.1","26.5","27","34","29.7","22.3","27.8","23.2"
"124","Highland","Fairly poor","3.6","3.4","2.3","3.1","2.7","1.7","*","1.3","1.6","2.7","4","1.8","2.7","1.7","4.6"
"125","Highland","Very poor","1.6","1.4","0.9","1","1.2","1.1","*","3.4","1","0.3","0.5","1.1","0.3","0.3","1.6"
"126","Highland","No opinion","0.4","0.2","-","0.2","0.4","0.2","*","-","-","-","0.4","-","0.1","-","0.2"
"127","Highland","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"128","Highland","Base","1060","1080","1020","1100","920","1090","*","290","300","320","300","280","320","330","330"
"129","Inverclyde","Very/fairly good","90.3","88.2","87.1","87.7","90.9","95","*","97.1","94.9","96.8","93.4","95.8","93.2","94.4","94.1"
"130","Inverclyde","Very good","51.3","45.2","49.8","44","54.8","52.8","*","53","58.9","55.9","58.9","55.3","56.1","60.9","54"
"131","Inverclyde","Fairly good","39","43","37.2","43.7","36.1","42.2","*","44.1","36","40.9","34.4","40.6","37.2","33.4","40.2"
"132","Inverclyde","Fairly poor","6.3","6.2","8.9","8.8","5.9","3.7","*","2.6","2.4","2.5","5.1","2.4","4.4","3.4","3.8"
